,NEW RANGE ROVER 3.6L TDV8 VOGUE SE,16000000,;
,NEW RANGE ROVER 4.4L V8 HSE,15500000,;
,NEW RANGEROVER  4.4L V8 VOGUE,16000000,;
,NEW RANGE ROVER 4.4L V8 VOGUE SE,17000000,;
,NEW RANGE ROVER 4.2L V8 SC VOGUE,17000000,;
,NEW RANGE ROVER 4.2L V8 SC VOGUE SE,18000000,;
,RANGE ROVER SPORT 3.6L TDV8 SE,12500000,;
,RANGE ROVER SPORT 4.2 L,16500000,;
,RANGE ROVER SPORT 4.2P,14000000,;
,RANGE ROVER SPORT 2.7L TDV6 HSE,9600000,;
,RANGE ROVER SPORT 3.6L TDV8 HSE,11000000,;
,RANGE ROVER SPORT 4.4LV8 HSE,10800000,ROVER:;
LEYLAND:;,LEYLAND DAF 85 TRACTOR YOM;2003,4868180,;
,ASHOK LEYLAND 80.14,2668000,;
,ASHOK LEYLAND 90.16,2900000,;
,ASHOK LEYLAND 1518,3944000,;
,ASHOK LEYLAND 2516 HAULAGE,4500800,;
,ASHOK LEYLAND 2516 TIPPER,5336000,;
,ASHOK LEYLAND 4921 TRACTOR,5220000,;
,ASHOK LEYLAND LYNX BUS,3500000,LEYLAND:;
MAHINDRA:;,BOLERO SINGLE CAB 4 X 2,1550000,;
,BOLERO SINGLE CAB 4 X 4,1770000,;
,BOLERO DOUBLE CAB 4 X 4,2100000,;
,BOLERO DOUBLE CAB 4 X 2,1700000,;
,SCORPIO SINGLE CAB 4 X 2,1775000,;
,SCORPIO SINGLE CAB 4 X 4,1975000,;
,SCORPIO DOUBLE CAB 4 X 4,2450000,;
,SCORPIO SUV 4 X 4(STD),2600000,;
,SCORPIO SUV 4 X 4(DIX),2700000,MAHINDRA:;
MARUTI:;,ALTO LX,900000,;
,GYPSY 1.3 S/TOP (PICK-UP),1050000,;
,GYPSY 1.3 H/TOP,1350000,;
,OMNI CARGO VAN,695000,;
,OMNI PASS - 5 SEATER,795000,;
,SWIFT VXI,1250000,;
,SWIFT ZXI,1500000,;
,ZEN EURO-STD,652500,;
,ZEN EURO AC,697500,;
,ZEN EURO AC,715500,;
,ZEN EURO STD,675000,MARUTI:;
MAZDA:;,323 ASTINA,1606500,;
,323 ETUDE 1600 A/C,1732500,;
,323 MIDGE 1.3,1394380,;
,323 STING,1254940,;
,MAZDA DEMIO,1670590,;
,MAZDA FAMILIA,2187500,;
,MAZDA BONGO FRIENDEE,4650280,;
,MAZDA BONGO,2250000,;
,MAZDA CAPELLA(MANUAL),2200000,;
,B 2500 H/RIDER,1665000,;
,B 2500 STD,3172300,;
,B1800,1255000,;
,MAZDA TITAN S/CAB,1400000,;
,BT50 S/C 4X2 2.5 TDI. DROP SIDE BODY,1685000,;
,BT50 S/C 4X2 2.5 TDI. ENCLOSED VAN BODY,1785000,;
,BT50 D/C 4X4 2.5 TDI.,2675000,;
,MAZDA 6 SALOON 1.8,2490000,;
,MAZDA MILLENIA,2482890,;
,MAZDA PREMACY 1.8 L MZR I4,2004710,;
,MAZDA PREMACY 2.0 L MZR I4,2227450,;
,MAZDA PREMACY MZ-CD DIESEL I4,2350000,;
,MAZDA PREMACY MZR I4,2450200,;
,T 3500 C/CAB,2117000,;
,T 4000 4TON C/CAB,2232300,;
,T4000 TRUCK,3025120,;
,TRIBUTE,4316670,;
,TRIBUTE,2950000,;
,T400 MANYANGA,3457280,;
,T350 MANYAGA,3025120,MAZDA:;
MERCEDES:;,MERCEDES SMART CAR,1056000,;
,A150 CLASSIC,2628000,;
,A150 ELEGANCE,2810500,;
,A190 (GF 168032),3379670,;
,ACTROS 1835/1840,7000000,;
,ACTROS 2040S 4X2 V6 LA 349HP,8580000,;
,ACTROS 2540,8000000,;
,ACTROS 3330,10627000,;
,ACTROS 3331S 6X4 V6 LA 349HP,9412000,;
,ACTROS 3340S 6X4 FULLY LOADED V6 LA 349HP,9724000,;
,ACTROS 3340S 6X4 LOWER SPECS V6 LA 349HP,9412000,;
,ACTROS 3348S 6X4 LOWER SPECS V8 LA 476HP,10566400,;
,1823 ATEGO,9600000,;
,1017 ATEGO,5619470,;
,815 ATEGO,4265860,;
,1528ATEGO,8973550,;
,2628 ATEGO,12403100,;
,1017 ATEGO,5619470,;
,C180 CLASSIC,4449350,;
,C180 KOMPRESSOR,4790320,;
,C180 CGI BLUE EFFICIENCY AUTO CLASSIC(W204),4115750,;
,C200K ,5299800,;
,C200K ,5526840,;
,C200 CGI AUTO ELEGANCE(W204),4718850,;
,C230 KOMPRSSOR SEDAN,5213310,;
,C230K SPORT MANUAL,5848600,;
,C 240 SEDAN,5365570,;
,C240 T MODEL,5617900,;
,C250TD CLASSIC MANUAL,4861240,;
,C250D SEDAN,4739650,;
,C250 TD SEDAN,5260070,;
,C250TD T MODEL,5312300,;
,C280 ELEGANCE AUTO,6342280,;
,C280 T MODEL,5959390,;
,C280 SEDAN,5717070,;
,190E,3801670,;
,E 200K AUTOMATIC,6679500,;
,E 200K MANUAL,6387500,;
,E200 SEDAN,4835970,;
,E200T MODEL,5200690,;
,E200 CGI(184HP) AUTO,5664250,;
,E220D SEDAN,5023570,;
,E230 T SEDAN,5971060,;
,E230K AUTO,6239960,;
,E230 MANUAL,6093600,;
,E 240,7500000,;
,E250D SEDAN,5366060,;
,E250 CGI(204HP),5827250,;
,E280 AUTO,7482500,;
,E280 MANUAL,6384540,;
,E300 TD T MODEL,6530740,;
,E300 TD SEDAN,6144980,;
